模型,正常 AUC,最大扰动下降,鲁棒得分
原始情绪知识追踪模型,0.843228 ± 0.000604,0.162636 ± 0.009772,0.680592 ± 0.010331
输入遮蔽训练对照,0.841047 ± 0.000050,0.099598 ± 0.000906,0.741450 ± 0.000858
情绪稳定训练模型（建议主方法）,0.844509 ± 0.000439,0.079296 ± 0.002754,0.765213 ± 0.003169
组合鲁棒训练模型（增强方案）,0.841455 ± 0.000557,0.060253 ± 0.000787,0.781202 ± 0.001267
